          **   BC HYDRO - GENERATION AND HYDROMETEOROLOGIC INFORMATION  **          

CLIMATE, SNOW AND/OR SURFACE WATER STATION: Pine Pass SP (pyn)

Note: Data are provided for information only.
      BC Hydro does not guarantee their accuracy.
      Data are based on automated readings which are from time to time inaccurate.

      Date    Time      Precipitation      Air Temperature      Snow water equivalent      Snow depth      
(yyyy/mm/dd) (PST)          (mm)               (°C)                   (mm)                 (cm)         
2021/12/26 00:30:00          181                -31.3                    582                  200.200         
2021/12/26 00:15:00          181                -31.4                    582                  200.200         
2021/12/26 00:00:00          180                -31.4                    582                  200.200         
2021/12/25 23:45:00          181                -31.4                    582                  200.200         
2021/12/25 23:30:00          181                -31.4                    582                  200.200         
2021/12/25 23:15:00          180                -31.4                    582                  200.200         
2021/12/25 23:00:00          180                -31.4                    582                  200.200         
2021/12/25 22:45:00          181                -31.3                    582                  200.200         
2021/12/25 22:30:00          181                -31.2                    582                  200.200         
2021/12/25 22:15:00          181                -31.5                    582                  200.200         
2021/12/25 22:00:00          180                -31.7                    582                  200.200         
2021/12/25 21:45:00          181                -31.6                    582                  200.200         
2021/12/25 21:30:00          181                -31.7                    582                  200.200         
2021/12/25 21:15:00          180                -31.7                    582                  200.200         
2021/12/25 21:00:00          180                -31.6                    582                  200.200         
2021/12/25 20:45:00          180                -31.7                    582                  200.200         
2021/12/25 20:30:00          181                -31.6                    582                  200.200         
2021/12/25 20:15:00          180                -31.6                    582                  200.200         
2021/12/25 20:00:00          180                -31.4                    582                  200.200         
2021/12/25 19:45:00          181                -31.3                    582                  200.200         
2021/12/25 19:30:00          181                -31.4                    582                  200.200         
2021/12/25 19:15:00          180                -31.5                    582                  200.200         
2021/12/25 19:00:00          181                -31.7                    582                  201.200         
2021/12/25 18:45:00          180                -31.7                    582                  201.200         
2021/12/25 18:30:00          180                -31.6                    582                  201.200         
2021/12/25 18:15:00          180                -31.6                    582                  201.200         
2021/12/25 18:00:00          180                -31.6                    582                  201.200         
2021/12/25 17:45:00          181                -31.5                    582                  201.200         
2021/12/25 17:30:00          180                -31.6                    582                  201.200         
2021/12/25 17:15:00          181                -31.6                    582                  201.200         
2021/12/25 17:00:00          180                -31.5                    582                  201.200         
2021/12/25 16:45:00          180                -31.4                    582                  201.200         
2021/12/25 16:30:00          180                -31.4                    582                  201.200         
2021/12/25 16:15:00          181                -31.7                    582                  201.200         
2021/12/25 16:00:00          180                -31.8                    582                  201.200         
2021/12/25 15:45:00          180                -31.6                    582                  201.200         
2021/12/25 15:30:00          180                -31.5                    582                  201.200         
2021/12/25 15:15:00          180                -31.4                    582                  201.200         
2021/12/25 15:00:00          180                -31.1                    582                  201.200         
2021/12/25 14:45:00          180                -31.1                    582                  201.200         
2021/12/25 14:30:00          180                -31.1                    582                  201.200         
2021/12/25 14:15:00          180                -30.9                    582                  201.200         
2021/12/25 14:00:00          180                -30.7                    582                  201.200         
2021/12/25 13:45:00          180                -30.6                    582                  201.200         
2021/12/25 13:30:00          180                -30.8                    582                  201.200         
2021/12/25 13:15:00          180                -30.8                    582                  201.200         
2021/12/25 13:00:00          180                -30.6                    582                  201.200         
2021/12/25 12:45:00          180                -30.8                    582                  201.200         
2021/12/25 12:30:00          180                -30.7                    582                  201.200         
2021/12/25 12:15:00          180                -30.6                    582                  201.200         
2021/12/25 12:00:00          180                -30.8                    582                  201.200         
2021/12/25 11:45:00          180                -30.7                    582                  202.200         
2021/12/25 11:30:00          180                -30.5                    582                  202.200         
2021/12/25 11:15:00          180                -30.1                    582                  201.200         
2021/12/25 11:00:00          180                -29.8                    582                  202.200         
2021/12/25 10:45:00          180                -30.0                    582                  201.200         
2021/12/25 10:30:00          180                -30.3                    582                  202.200         
2021/12/25 10:15:00          180                -30.5                    582                  201.200         
2021/12/25 10:00:00          180                -30.8                    582                  202.200         
2021/12/25 09:45:00          180                -30.9                    582                  202.200         
2021/12/25 09:30:00          181                -30.9                    582                  202.200         
2021/12/25 09:15:00          180                -31.0                    582                  202.200         
2021/12/25 09:00:00          180                -31.0                    582                  202.200         
2021/12/25 08:45:00          180                -31.0                    582                  202.200         
2021/12/25 08:30:00          180                -30.9                    582                  202.200         
2021/12/25 08:15:00          180                -30.8                    582                  202.200         
2021/12/25 08:00:00          180                -30.7                    582                  202.200         
2021/12/25 07:45:00          180                -30.6                    582                  202.200         
2021/12/25 07:30:00          180                -30.5                    582                  202.200         
2021/12/25 07:15:00          180                -30.4                    582                  202.200         
2021/12/25 07:00:00          180                -30.3                    582                  202.200         
2021/12/25 06:45:00          180                -30.1                    582                  202.200         
2021/12/25 06:30:00          180                -30.1                    582                  202.200         
